Months.Since.1Jan1840,Year.Month.Day,bp30to90cm.gm-2
1845,1993-11-01,0.0010523707811979442
1846,1993-12-01,0.001046236146026792
1847,1994-01-01,0.0010448528629558224
1848,1994-02-01,0.0010336997807690626
1849,1994-03-01,0.0010319020460175762
1850,1994-04-01,0.0010314637637109541
1851,1994-05-01,0.0010282253417795608
1852,1994-06-01,0.001019572802366115
1853,1994-07-01,0.0010079770364231665
1854,1994-08-01,9.968544470291343e-4
1855,1994-09-01,9.85394378856857e-4
1856,1994-10-01,9.755065829234514e-4
1857,1994-11-01,9.664654224821583e-4
1858,1994-12-01,9.591073175050816e-4
1859,1995-01-01,9.585568525271205e-4
1860,1995-02-01,0.0010200221894938026
1861,1995-03-01,0.0010802563108041657
1862,1995-04-01,0.0011315819456395688
1863,1995-05-01,0.0011679366431143136
1864,1995-06-01,0.001186336036400392
1865,1995-07-01,0.001195261994986601
1866,1995-08-01,0.0011980277328436097
1867,1995-09-01,0.0011991933366450778
1868,1995-10-01,0.001198169402872349
1869,1995-11-01,0.0011965272120967644
1870,1995-12-01,0.001193167436134954
1871,1996-01-01,0.001193074276011026
1872,1996-02-01,0.001265742817146056
1873,1996-03-01,0.0013346922817465206
1874,1996-04-01,0.0014001997059691434
1875,1996-05-01,0.0014477615382112441
1876,1996-06-01,0.001479331341659578
1877,1996-07-01,0.001497601294359468
1878,1996-08-01,0.0015095219063689267
1879,1996-09-01,0.001517638849520418
1880,1996-10-01,0.0015206072853614545
1881,1996-11-01,0.0015217105857347542
1882,1996-12-01,0.001521782289828188
1883,1997-01-01,0.001523614737271257
1884,1997-02-01,0.0015133913186504606
1885,1997-03-01,0.0015162250304379837
1886,1997-04-01,0.0015226030269865675
1887,1997-05-01,0.0015225220286434213
1888,1997-06-01,0.0015182553936275312
1889,1997-07-01,0.0015078124654356378
1890,1997-08-01,0.0014971048868354538
1891,1997-09-01,0.0014851783835191752
1892,1997-10-01,0.001469797642557888
1893,1997-11-01,0.0014563476913476445
1894,1997-12-01,0.0014481955758041476
1895,1998-01-01,0.0014459058158320171
1896,1998-02-01,0.0014327724594339214
1897,1998-03-01,0.0014311247499215083
1898,1998-04-01,0.0014365891160153927
1899,1998-05-01,0.0014355145230256232
1900,1998-06-01,0.001427516188096245
1901,1998-07-01,0.0014142357817149194
1902,1998-08-01,0.0014018559529358555
1903,1998-09-01,0.0013901038336382157
1904,1998-10-01,0.0013782795067874502
1905,1998-11-01,0.001368604046486984
1906,1998-12-01,0.0013634478828665408
1907,1999-01-01,0.0013628052649653673
1908,1999-02-01,0.0013234852544704262
1909,1999-03-01,0.0012962150199737677
1910,1999-04-01,0.0012789711912735507
1911,1999-05-01,0.0012628530957449664
1912,1999-06-01,0.0012459280232737324
1913,1999-07-01,0.0012284262339579467
1914,1999-08-01,0.0012139050401619674
1915,1999-09-01,0.001202156686856543
1916,1999-10-01,0.001191836465079804
1917,1999-11-01,0.0011817764970937373
1918,1999-12-01,0.00117502971420568
1919,2000-01-01,0.0011721137329439551
1920,2000-02-01,0.0012809524161340213
1921,2000-03-01,0.0013857046768453055
1922,2000-04-01,0.0014794143614867803
1923,2000-05-01,0.001554162931732895
1924,2000-06-01,0.0016089975002188928
1925,2000-07-01,0.0016485509415765486
1926,2000-08-01,0.0016775594529613255
1927,2000-09-01,0.0016992534226231593
1928,2000-10-01,0.001714547754420204
1929,2000-11-01,0.001724328557215327
1930,2000-12-01,0.001732052296527198
1931,2001-01-01,0.0017411376318757503
1932,2001-02-01,0.0018266515335014861
1933,2001-03-01,0.0019149382603364277
1934,2001-04-01,0.00199559640628705
1935,2001-05-01,0.0020609243604282593
1936,2001-06-01,0.002110399315003059
1937,2001-07-01,0.0021460049222348067
1938,2001-08-01,0.002172366580320995
1939,2001-09-01,0.002194932211003351
1940,2001-10-01,0.0022105240698370595
1941,2001-11-01,0.0022207725632893477
1942,2001-12-01,0.0022275609828731877
1943,2002-01-01,0.002237042392499479
1944,2002-02-01,0.0022497070529690047
1945,2002-03-01,0.0022705898121837737
1946,2002-04-01,0.0022932276916028693
1947,2002-05-01,0.0023108924669890288
1948,2002-06-01,0.002317614353453254
1949,2002-07-01,0.0023173557794734265
1950,2002-08-01,0.0023153413401575595
1951,2002-09-01,0.0023116443233506803
1952,2002-10-01,0.002304628669066773
