Months.Since.1Jan1840,Year.Month.Day,1to10g.gm-2,10to100g.gm-2,100gto1kg.gm-2,1to10kg.gm-2,10to100kg.gm-2,GT100kg.gm-2
1864,1995-06-01,7.175568116577113e-8,1.779763297116098e-6,4.2400437282460005e-5,0.005154830038223172,0.061493968817154,0.046001840979792645
1865,1995-07-01,7.204125296174178e-8,1.7842659672044986e-6,4.240554059122138e-5,0.00515085446138225,0.06149003527541349,0.04600055294988715
1866,1995-08-01,7.223706290275816e-8,1.7893800731992073e-6,4.241713198962167e-5,0.005146891460524178,0.06148606177974764,0.045999262445760795
1867,1995-09-01,7.235595110809661e-8,1.7948095581326294e-6,4.243431331675914e-5,0.00514293845086596,0.06148205825490641,0.04599796959653386
1868,1995-10-01,7.242116302633701e-8,1.8001682478301142e-6,4.245693658092174e-5,0.005138993181491617,0.061478032077858395,0.045996674529998505
1869,1995-11-01,7.245399227013905e-8,1.805096730838031e-6,4.248530046671853e-5,0.005135054756590314,0.06147398767478907,0.045995377369050267
1870,1995-12-01,7.246935268473281e-8,1.8093442734055496e-6,4.2519777883598664e-5,0.0051311238916443075,0.06146992684737898,0.045994078228729224
1871,1996-01-01,7.247610098766129e-8,1.8127961270519842e-6,4.256054109857966e-5,0.005127202676549648,0.061465849470030955,0.04599277721478867
1872,1996-02-01,7.246791261226195e-8,1.815357519819676e-6,4.260964440503452e-5,0.005123295810388846,0.061462170022787296,0.0459916082252498
1873,1996-03-01,7.265190426055814e-8,1.8177090775398958e-6,4.259969261455546e-5,0.005116948047458733,0.06145427963281621,0.04598936052522168
1874,1996-04-01,7.29469188906926e-8,1.8204874632008382e-6,4.260407906326037e-5,0.005110608050531589,0.06144634408972138,0.045987111398908063
1875,1996-05-01,7.329596831394837e-8,1.8236562488697465e-6,4.262019258911366e-5,0.005104295569059613,0.06143836571056908,0.04598486093535568
1876,1996-06-01,7.363093948961482e-8,1.8273308622364552e-6,4.264574844684554e-5,0.005098018574782248,0.06143035417826726,0.04598260923048623
1877,1996-07-01,7.390092740646723e-8,1.8316001464015968e-6,4.267891213291878e-5,0.00509177604092627,0.061422323393069966,0.04598035639070379
1878,1996-08-01,7.408908959178482e-8,1.836400412806241e-6,4.271816398910507e-5,0.005085562860706577,0.061414287655101686,0.04597810253489524
1879,1996-09-01,7.420528985398852e-8,1.8414969900623742e-6,4.2762439293053134e-5,0.005079373516760013,0.06140625887637891,0.045975847794451005
1880,1996-10-01,7.427013577416555e-8,1.846558296467703e-6,4.281120119537326e-5,0.005073204046523832,0.061398245231195504,0.045973592311395514
1881,1996-11-01,7.430334609127764e-8,1.851259372724247e-6,4.286429625881701e-5,0.0050670527651691,0.06139025097419912,0.04597133623516409
1882,1996-12-01,7.431914823271629e-8,1.8553602224672236e-6,4.2921703639834134e-5,0.005060920211242554,0.061382276997354004,0.04596907971888415
1883,1997-01-01,7.432620396458735e-8,1.858738116725951e-6,4.298332194755376e-5,0.005054808655650497,0.061374321744315716,0.04596682291613508
1884,1997-02-01,7.436443703104471e-8,1.8620131131047614e-6,4.3062521293059306e-5,0.005048760338345782,0.06136479005709172,0.045964799500301176
1885,1997-03-01,7.449331793982526e-8,1.8654258167492883e-6,4.312202018763737e-5,0.0050415661316872305,0.061353039917161,0.04596219466432542
1886,1997-04-01,7.46150887415659e-8,1.8682109014299446e-6,4.3187116580251195e-5,0.005034467435741582,0.06134132449197094,0.04595959021130416
1887,1997-05-01,7.472358793829315e-8,1.8705946809535095e-6,4.325357419185693e-5,0.005027465032293164,0.061329676275650426,0.04595698629856954
1888,1997-06-01,7.480859450316596e-8,1.8728081819024264e-6,4.332040140437287e-5,0.00502054001163574,0.061318131047961334,0.045954383089681694
1889,1997-07-01,7.48668515923164e-8,1.874943823941464e-6,4.338788383822056e-5,0.005013667377947429,0.061306719525438,0.045951780757978566
1890,1997-08-01,7.490230367537417e-8,1.8769924793876672e-6,4.345622704255236e-5,0.00500682587095481,0.06129546262571014,0.04594917948957447
1891,1997-09-01,7.49217753539371e-8,1.8788963112820933e-6,4.352526727618182e-5,0.005000001737094589,0.061284370702896045,0.04594657948525064
1892,1997-10-01,7.493156208595952e-8,1.880589669301873e-6,4.359460211395128e-5,0.004993188499522335,0.061273445200286096,0.04594398096097083
1893,1997-11-01,7.493611416211363e-8,1.8820253418702515e-6,4.366373656624039e-5,0.004986385140474631,0.06126268109992017,0.045941384147070136
1894,1997-12-01,7.493809140921108e-8,1.883185772983652e-6,4.3732158213257966e-5,0.004979594112976147,0.06125206924018373,0.04593878928642766
1895,1998-01-01,7.493889954226997e-8,1.8840820740372683e-6,4.3799368052436786e-5,0.0049728197139954685,0.06124159818012119,0.045936196632089685
1896,1998-02-01,7.509645815176581e-8,1.8870507494764013e-6,4.389806943722354e-5,0.0049661857411419895,0.061224816312063335,0.04593379393647217
1897,1998-03-01,7.494370165266039e-8,1.8896054640217556e-6,4.4084804477082125e-5,0.004962232998635377,0.06121285333280822,0.04593250811527465
1898,1998-04-01,7.456890559411996e-8,1.8893708664669282e-6,4.425457555645183e-5,0.0049585144250258095,0.06120104421640022,0.045931225461304875
1899,1998-05-01,7.409716605936062e-8,1.887232320252412e-6,4.439967969988628e-5,0.00495501531803723,0.061189450179369,0.045929946276727
1900,1998-06-01,7.363597821051596e-8,1.883700087895091e-6,4.45221152496523e-5,0.004951678121880659,0.06117814426397261,0.04592867087151545
1901,1998-07-01,7.32625273568865e-8,1.8789292074148036e-6,4.462714733366301e-5,0.004948430345858251,0.0611671937863588,0.04592739956545091
1902,1998-08-01,7.30030523040694e-8,1.8731233420515878e-6,4.471894397443888e-5,0.004945208311522599,0.061156646724817965,0.045926132690664964
1903,1998-09-01,7.284405600806457e-8,1.8666864267594203e-6,4.479935261790037e-5,0.004941969019757473,0.06114652643111356,0.045924870594256685
1904,1998-10-01,7.275627973913653e-8,1.8601458133893514e-6,4.486836130605541e-5,0.004938691208985907,0.06113683384120564,0.04592361364044025
1905,1998-11-01,7.271189504379536e-8,1.854004676290109e-6,4.4925028770304e-5,0.004935370238537794,0.06112755372085117,0.045922362211641816
1906,1998-12-01,7.269107082156285e-8,1.8486300160318974e-6,4.496829193565601e-5,0.00493201127768312,0.06111866156310653,0.04592111670797169
1907,1999-01-01,7.268191115502524e-8,1.844210364601387e-6,4.499746474211561e-5,0.004928623526688188,0.06111012913968648,0.04591987754458785
1908,1999-02-01,7.29441717654318e-8,1.8437246230448407e-6,4.5042696542312096e-5,0.004925301692116189,0.06109252580046644,0.04591874506625564
1909,1999-03-01,7.269566896256209e-8,1.8433407020798388e-6,4.519934757971462e-5,0.004926338092046966,0.061083469832462246,0.045919564657545243
1910,1999-04-01,7.216697958365367e-8,1.8403969695730137e-6,4.5330217031336426e-5,0.004927567989777779,0.0610746542112256,0.04592039235612987
1911,1999-05-01,7.155601580400724e-8,1.8352862438151134e-6,4.5426339117230596e-5,0.0049290092159332746,0.06106609856534912,0.04592122860577032
1912,1999-06-01,7.100267256069133e-8,1.8285783546183349e-6,4.548671201344274e-5,0.004930649145419826,0.06105783907336908,0.04592207382220311
1913,1999-07-01,7.058291289892616e-8,1.8206491653504554e-6,4.551590281120948e-5,0.004932447368387118,0.06104992533672251,0.04592292838473879
1914,1999-08-01,7.03074354696805e-8,1.8119302103202274e-6,4.5519947790880795e-5,0.004934345324213083,0.06104241303380537,0.04592379263110044
1915,1999-09-01,7.014713936911433e-8,1.80301147194795e-6,4.550370356296489e-5,0.0049362786695747885,0.06103535474839186,0.045924666855945914
1916,1999-10-01,7.006280727067928e-8,1.7945296956253917e-6,4.547016762975203e-5,0.0049381884084197195,0.06102879187616589,0.045925551312690105
1917,1999-11-01,7.002206858712786e-8,1.7870055613726142e-6,4.542098990422483e-5,0.004940028295417005,0.06102274967679173,0.04592644621747575
1918,1999-12-01,7.000377420325941e-8,1.7807452685888476e-6,4.535727973756758e-5,0.004941767829929741,0.061017236087435776,0.04592735175364006
1919,2000-01-01,7.014475304417135e-8,1.7772926173047226e-6,4.5291685350597045e-5,0.004943335525633463,0.061007893620852405,0.04592830399297703
1920,2000-02-01,6.98465398498119e-8,1.7730418398254305e-6,4.530083300418839e-5,0.00494886027967135,0.06100724297874624,0.045931093958959904
1921,2000-03-01,6.940370098754735e-8,1.7678140440315282e-6,4.528515780951266e-5,0.004954380005543256,0.06100703117048142,0.045933895576993886
1922,2000-04-01,6.894801662557444e-8,1.761810861807684e-6,4.5244756343382885e-5,0.004959893445575148,0.06100724402330861,0.04593670886910514
