Months.Since.1Jan1840,Year.Month.Day,cp30to90cm.gm-2
1669,1979-03-01,3.314260357566292e-4
1670,1979-04-01,3.3555300361991344e-4
1671,1979-05-01,3.3809069683587094e-4
1672,1979-06-01,3.385025999171376e-4
1673,1979-07-01,3.378163208975232e-4
1674,1979-08-01,3.3656634415484715e-4
1675,1979-09-01,3.351346251616444e-4
1676,1979-10-01,3.328970848942292e-4
1677,1979-11-01,3.312554991626322e-4
1678,1979-12-01,3.297646853597512e-4
1679,1980-01-01,2.9040419798422463e-4
1680,1980-02-01,2.9885142610479846e-4
1681,1980-03-01,3.08061575244673e-4
1682,1980-04-01,3.1787518726579387e-4
1683,1980-05-01,3.244313015694585e-4
1684,1980-06-01,3.283919612370314e-4
1685,1980-07-01,3.301406153655591e-4
1686,1980-08-01,0.00033102748018004803
1687,1980-09-01,3.312070287602081e-4
1688,1980-10-01,3.3092921009660926e-4
1689,1980-11-01,3.303913648115953e-4
1690,1980-12-01,3.3036923955671155e-4
1691,1981-01-01,3.467398493869165e-4
1692,1981-02-01,3.449076275422187e-4
1693,1981-03-01,3.456802845198402e-4
1694,1981-04-01,3.4749224261276167e-4
1695,1981-05-01,3.483709889322906e-4
1696,1981-06-01,3.4701369639876046e-4
1697,1981-07-01,3.449775443941668e-4
1698,1981-08-01,3.428814800887092e-4
1699,1981-09-01,3.4069934530835935e-4
1700,1981-10-01,3.3796229905234504e-4
1701,1981-11-01,3.3574494830161965e-4
1702,1981-12-01,3.342410659224533e-4
1703,1982-01-01,3.328711465904395e-4
1704,1982-02-01,3.3341312340751876e-4
1705,1982-03-01,3.3542258998333556e-4
1706,1982-04-01,3.3838414176441656e-4
1707,1982-05-01,3.402851117556005e-4
1708,1982-06-01,3.399940656642192e-4
1709,1982-07-01,3.382117528834155e-4
1710,1982-08-01,3.3604452775314216e-4
1711,1982-09-01,3.3305971877291415e-4
1712,1982-10-01,3.300054522448869e-4
1713,1982-11-01,3.270396322839853e-4
1714,1982-12-01,3.239721774175221e-4
1715,1983-01-01,5.238066263120667e-4
1716,1983-02-01,4.6954432652956865e-4
1717,1983-03-01,4.3193618617298345e-4
1718,1983-04-01,4.06244175729928e-4
1719,1983-05-01,3.873451249593213e-4
1720,1983-06-01,3.700174647361921e-4
1721,1983-07-01,3.556220503906339e-4
1722,1983-08-01,3.44844406427262e-4
1723,1983-09-01,3.3642631999962415e-4
1724,1983-10-01,3.296915239082608e-4
1725,1983-11-01,3.2551500868537633e-4
1726,1983-12-01,3.22930466791518e-4
1727,1984-01-01,3.274236476448334e-4
1728,1984-02-01,3.2606801025288507e-4
1729,1984-03-01,3.277949832627875e-4
1730,1984-04-01,3.3007964104395197e-4
1731,1984-05-01,3.313365291970175e-4
1732,1984-06-01,3.3047517129977525e-4
1733,1984-07-01,3.2825938194144604e-4
1734,1984-08-01,3.2538144441814364e-4
1735,1984-09-01,3.2279688372218406e-4
1736,1984-10-01,3.1973906823545373e-4
1737,1984-11-01,3.178427727011456e-4
1738,1984-12-01,3.1648538669686905e-4
1739,1985-01-01,3.212995441215472e-4
1740,1985-02-01,3.214079956715131e-4
1741,1985-03-01,3.2474760822496005e-4
1742,1985-04-01,3.274548897336346e-4
1743,1985-05-01,3.2879764491639457e-4
1744,1985-06-01,3.27343289807627e-4
1745,1985-07-01,3.244793939267338e-4
1746,1985-08-01,3.2190279479191246e-4
1747,1985-09-01,3.1951608747702356e-4
1748,1985-10-01,3.171915756459951e-4
1749,1985-11-01,3.151507349290487e-4
1750,1985-12-01,3.1279394487200134e-4
1751,1986-01-01,3.4896766229726856e-4
1752,1986-02-01,3.3948786113732223e-4
1753,1986-03-01,3.3518038230951063e-4
1754,1986-04-01,3.3487918678935406e-4
1755,1986-05-01,3.3280514133124037e-4
1756,1986-06-01,0.00032821651002743456
1757,1986-07-01,3.2330865921009023e-4
1758,1986-08-01,3.191761233431335e-4
1759,1986-09-01,3.1585567652316955e-4
1760,1986-10-01,3.1225545480810307e-4
1761,1986-11-01,3.0945534911141874e-4
1762,1986-12-01,3.0800186660885853e-4
1763,1987-01-01,2.588914144757102e-4
1764,1987-02-01,2.752521384990912e-4
1765,1987-03-01,2.9238546185339536e-4
1766,1987-04-01,3.070454801184323e-4
1767,1987-05-01,3.1617565451862395e-4
1768,1987-06-01,3.202892806655434e-4
1769,1987-07-01,3.210596163737236e-4
1770,1987-08-01,3.2037393666936717e-4
1771,1987-09-01,3.1893085104822255e-4
1772,1987-10-01,3.1711799836873307e-4
1773,1987-11-01,3.1569787868285866e-4
1774,1987-12-01,3.1495592580103746e-4
1775,1988-01-01,2.7169753907258903e-4
1776,1988-02-01,2.860317014759454e-4
1777,1988-03-01,2.998073736980119e-4
1778,1988-04-01,3.1196041010916935e-4
1779,1988-05-01,3.199633655844545e-4
1780,1988-06-01,3.2430040908349757e-4
1781,1988-07-01,3.260495462872773e-4
1782,1988-08-01,3.26709904346385e-4
1783,1988-09-01,3.2654769019922314e-4
1784,1988-10-01,3.2561033365630045e-4
1785,1988-11-01,3.252665126848811e-4
1786,1988-12-01,3.247625660196145e-4
1787,1989-01-01,3.124304169673744e-4
1788,1989-02-01,3.165693601678647e-4
1789,1989-03-01,3.218651257787874e-4
1790,1989-04-01,3.269900195825436e-4
1791,1989-05-01,3.298911818944421e-4
1792,1989-06-01,3.3077966787003197e-4
1793,1989-07-01,3.304700829970664e-4
1794,1989-08-01,3.2954504188765355e-4
1795,1989-09-01,3.2851541439052703e-4
1796,1989-10-01,3.269947158459619e-4
1797,1989-11-01,3.2512996474174386e-4
1798,1989-12-01,3.2325002757840096e-4
1799,1990-01-01,4.234139158767759e-4
1800,1990-02-01,3.933216242153609e-4
1801,1990-03-01,3.741409936307824e-4
1802,1990-04-01,3.6217862427060266e-4
1803,1990-05-01,3.526057681374763e-4
1804,1990-06-01,3.425397871559818e-4
1805,1990-07-01,3.3417998816081895e-4
1806,1990-08-01,3.2798111449160644e-4
1807,1990-09-01,3.2352605563491007e-4
1808,1990-10-01,3.1976731866214365e-4
1809,1990-11-01,3.159331153493498e-4
1810,1990-12-01,3.131501653009943e-4
1811,1991-01-01,2.72774765827452e-4
1812,1991-02-01,2.850495429527417e-4
1813,1991-03-01,2.984006534631118e-4
1814,1991-04-01,3.1103767913217634e-4
1815,1991-05-01,3.191298003463995e-4
1816,1991-06-01,3.217154103541345e-4
1817,1991-07-01,3.2146864980803517e-4
1818,1991-08-01,3.2084605484546667e-4
1819,1991-09-01,3.2031161241559777e-4
