Months.Since.1Jan1840,Year.Month.Day,tpb.gm-2
1755,1986-05-01,0.0048386068908392475
1756,1986-06-01,0.004687502282513725
1757,1986-07-01,0.004522748412720293
1758,1986-08-01,0.004380814496073175
1759,1986-09-01,0.004266420051444442
1760,1986-10-01,0.004165393207636161
1761,1986-11-01,0.0040866342511984635
1762,1986-12-01,0.004026568097497308
1763,1987-01-01,0.003968099031074713
1764,1987-02-01,0.0037845468630997915
1765,1987-03-01,0.003592190553942457
1766,1987-04-01,0.0035147575652351368
1767,1987-05-01,0.003483742250971729
1768,1987-06-01,0.003672689987637577
1769,1987-07-01,0.0037359152084278525
1770,1987-08-01,0.0037203847882346657
1771,1987-09-01,0.003680266545785531
1772,1987-10-01,0.0036350214024381956
1773,1987-11-01,0.003596332545851022
1774,1987-12-01,0.0035633725940710775
1775,1988-01-01,0.003543227647974217
1776,1988-02-01,0.003703402593210997
1777,1988-03-01,0.0037634987197988712
1778,1988-04-01,0.003838901531639301
1779,1988-05-01,0.004075592404801722
1780,1988-06-01,0.004332378613239252
1781,1988-07-01,0.004428551047696497
1782,1988-08-01,0.004449463263336096
1783,1988-09-01,0.004437447728012862
1784,1988-10-01,0.004407239649337594
1785,1988-11-01,0.0043843625828032164
1786,1988-12-01,0.004353567399639184
1787,1989-01-01,0.004310730080772205
1788,1989-02-01,0.004196784812683756
1789,1989-03-01,0.004031474200437625
1790,1989-04-01,0.003999784524887339
1791,1989-05-01,0.004126489052113007
1792,1989-06-01,0.004243899883017621
1793,1989-07-01,0.004276229373828004
1794,1989-08-01,0.004265394373785872
1795,1989-09-01,0.004241664445069422
1796,1989-10-01,0.004206645990059426
1797,1989-11-01,0.004164081373328468
1798,1989-12-01,0.004114938208830309
1799,1990-01-01,0.004068619219477908
1800,1990-02-01,0.0029346810778143034
1801,1990-03-01,0.0023185474419186326
1802,1990-04-01,0.0020048456505820534
1803,1990-05-01,0.002041896565537127
1804,1990-06-01,0.001994480587596596
1805,1990-07-01,0.00193232625138712
1806,1990-08-01,0.0018871744728428952
1807,1990-09-01,0.001859202596546564
1808,1990-10-01,0.0018374809201425646
1809,1990-11-01,0.0018138057135604364
1810,1990-12-01,0.001794319192320287
1811,1991-01-01,0.0017719316984315635
1812,1991-02-01,0.002676193973345702
1813,1991-03-01,0.0036049941043161575
1814,1991-04-01,0.004438623355404121
1815,1991-05-01,0.005333114914788233
1816,1991-06-01,0.006036522942414812
1817,1991-07-01,0.006529876094853213
1818,1991-08-01,0.0068900331045394555
1819,1991-09-01,0.007156780240535196
1820,1991-10-01,0.007342445309161895
1821,1991-11-01,0.007450324760827116
1822,1991-12-01,0.007517297991100022
1823,1992-01-01,0.007544006235778064
1824,1992-02-01,0.007318360102549046
1825,1992-03-01,0.007072575687467226
1826,1992-04-01,0.0069643611278820475
1827,1992-05-01,0.007022722207147388
1828,1992-06-01,0.007126618740470718
1829,1992-07-01,0.007154205999067601
1830,1992-08-01,0.007130721209125219
1831,1992-09-01,0.007083641756988318
1832,1992-10-01,0.007029639848345801
1833,1992-11-01,0.0069707510686392166
1834,1992-12-01,0.006913618384648803
1835,1993-01-01,0.006843884764796199
1836,1993-02-01,0.006678794668222138
1837,1993-03-01,0.006501853444126752
1838,1993-04-01,0.006407052937016332
1839,1993-05-01,0.006566744370438833
1840,1993-06-01,0.006710739608606972
1841,1993-07-01,0.006734677797963441
1842,1993-08-01,0.006703057095006055
1843,1993-09-01,0.00664803782553535
1844,1993-10-01,0.006573668055231169
1845,1993-11-01,0.006507248013780386
1846,1993-12-01,0.006436545969380407
1847,1994-01-01,0.006365598912827883
1848,1994-02-01,0.006316339412609055
1849,1994-03-01,0.006259129147945069
1850,1994-04-01,0.0062543811042010105
1851,1994-05-01,0.006522898097398279
1852,1994-06-01,0.006765645174430393
1853,1994-07-01,0.006810861078681061
1854,1994-08-01,0.006777462857030208
1855,1994-09-01,0.006703662273114268
1856,1994-10-01,0.00661873320407499
1857,1994-11-01,0.0065293611686912095
1858,1994-12-01,0.0064371179779307
1859,1995-01-01,0.00636656805616324
1860,1995-02-01,0.0067548696887433715
1861,1995-03-01,0.007047585541501436
1862,1995-04-01,0.007500436063403394
1863,1995-05-01,0.008096233992314189
1864,1995-06-01,0.008587760930810845
1865,1995-07-01,0.008895147687210798
1866,1995-08-01,0.00907312308260769
1867,1995-09-01,0.009183522121701865
1868,1995-10-01,0.009243913156790774
1869,1995-11-01,0.009273549992197672
1870,1995-12-01,0.009263254676224866
1871,1996-01-01,0.009243252932159773
1872,1996-02-01,0.008929040063261845
1873,1996-03-01,0.008622256092753891
1874,1996-04-01,0.00844327592905329
1875,1996-05-01,0.00851724435928592
1876,1996-06-01,0.00855616759788462
1877,1996-07-01,0.008494482217206145
1878,1996-08-01,0.008400336657734734
1879,1996-09-01,0.008301147551336808
1880,1996-10-01,0.008193218050967817
1881,1996-11-01,0.008091743592536166
1882,1996-12-01,0.007986644224100965
1883,1997-01-01,0.007877986214670606
1884,1997-02-01,0.007154584851385352
1885,1997-03-01,0.006609020319997802
1886,1997-04-01,0.006333835637520389
1887,1997-05-01,0.006257378337015807
1888,1997-06-01,0.006187485498131198
1889,1997-07-01,0.006055653463976247
1890,1997-08-01,0.005919455030585032
1891,1997-09-01,0.00578682932791672
1892,1997-10-01,0.005648600349442537
1893,1997-11-01,0.005530524766967521
1894,1997-12-01,0.0054391354081093565
1895,1998-01-01,0.005356630756683772
1896,1998-02-01,0.005178038369121843
1897,1998-03-01,0.004965300916805341
1898,1998-04-01,0.004894745666524517
1899,1998-05-01,0.004838772460089459
1900,1998-06-01,0.004955904747739011
1901,1998-07-01,0.005076788012367052
1902,1998-08-01,0.0051185760569943855
1903,1998-09-01,0.005114622237844258
1904,1998-10-01,0.005084350667183019
1905,1998-11-01,0.00504719202279057
1906,1998-12-01,0.005016248890846009
1907,1999-01-01,0.004974152316829213
1908,1999-02-01,0.004552938776696183
1909,1999-03-01,0.0041933762722190454
1910,1999-04-01,0.0039807613874591015
1911,1999-05-01,0.003856307556919832
1912,1999-06-01,0.003943370381018991
1913,1999-07-01,0.003990331868695818
1914,1999-08-01,0.0039911882506749674
1915,1999-09-01,0.003974706837443686
1916,1999-10-01,0.003948480700648993
1917,1999-11-01,0.003912369870323658
1918,1999-12-01,0.0038780274504591253
1919,2000-01-01,0.003840711000769487
1920,2000-02-01,0.003796913181747277
1921,2000-03-01,0.0036947972946730274
1922,2000-04-01,0.0036615434305427292
1923,2000-05-01,0.0036901758598126364
1924,2000-06-01,0.003997062421547956
1925,2000-07-01,0.0040706412163650195
1926,2000-08-01,0.004055731239470512
1927,2000-09-01,0.0040229898292044805
1928,2000-10-01,0.003984027456118457
1929,2000-11-01,0.003941135340797802
1930,2000-12-01,0.0039004989688156927
1931,2001-01-01,0.003864235814145989
1932,2001-02-01,0.004996124266817182
1933,2001-03-01,0.006073352178193305
1934,2001-04-01,0.007178322161394363
1935,2001-05-01,0.008376153168886053
1936,2001-06-01,0.009628823814007027
1937,2001-07-01,0.01069454611617834
1938,2001-08-01,0.011591442623670598
1939,2001-09-01,0.012374391166788908
1940,2001-10-01,0.01303705838750611
1941,2001-11-01,0.01359675168615612
1942,2001-12-01,0.014060472110680476
1943,2002-01-01,0.014463893043926484
1944,2002-02-01,0.01439450744957395
1945,2002-03-01,0.014305949744251143
1946,2002-04-01,0.014185127978588114
1947,2002-05-01,0.014438697932904462
1948,2002-06-01,0.014632206272733494
1949,2002-07-01,0.01467805110705115
1950,2002-08-01,0.014663473106275048
1951,2002-09-01,0.014615174532092589
1952,2002-10-01,0.014534788560582301
1953,2002-11-01,0.014428619334879818
1954,2002-12-01,0.014320980202632437
1955,2003-01-01,0.014221146173961769
1956,2003-02-01,0.014313841941927747
1957,2003-03-01,0.014358613468325974
1958,2003-04-01,0.01451594815448208
1959,2003-05-01,0.015036380727329868
1960,2003-06-01,0.015445425707174587
1961,2003-07-01,0.015686596056672008
1962,2003-08-01,0.0158234677833955
1963,2003-09-01,0.0159051488748837
1964,2003-10-01,0.015938323534163162
1965,2003-11-01,0.015938027651446612
1966,2003-12-01,0.01591280126737478
1967,2004-01-01,0.015868622791721135
1968,2004-02-01,0.016539065667682786
1969,2004-03-01,0.017235184285839984
1970,2004-04-01,0.01795466500117398
1971,2004-05-01,0.018766702457693938
1972,2004-06-01,0.019530687816525883
1973,2004-07-01,0.02015740123595885
1974,2004-08-01,0.020672762026572675
1975,2004-09-01,0.02109996609363573
1976,2004-10-01,0.021439795718615675
1977,2004-11-01,0.021728811694598355
1978,2004-12-01,0.021960418997693815
1979,2005-01-01,0.022156268241120696
1980,2005-02-01,0.02256806458268942
1981,2005-03-01,0.023032447104864687
1982,2005-04-01,0.023497553586055344
1983,2005-05-01,0.02414227919453976
1984,2005-06-01,0.02470980345914887
1985,2005-07-01,0.025160881668896327
1986,2005-08-01,0.02551850535116907
1987,2005-09-01,0.0258204738855245
1988,2005-10-01,0.026054018455176405
1989,2005-11-01,0.026231558859536354
1990,2005-12-01,0.026364259350207694
1991,2006-01-01,0.02646600218475945
1992,2006-02-01,0.02557996221848172
1993,2006-03-01,0.02470166858767627
1994,2006-04-01,0.024097396327132932
1995,2006-05-01,0.023701848130357386
1996,2006-06-01,0.02328526113922514
1997,2006-07-01,0.022840111664230812
1998,2006-08-01,0.022399074414604824
1999,2006-09-01,0.021966325180784896
2000,2006-10-01,0.02153090140611579
2001,2006-11-01,0.021116717711468017
2002,2006-12-01,0.020706132030716314
2003,2007-01-01,0.020330591939074938
2004,2007-02-01,0.019787213096863203
2005,2007-03-01,0.019258414420327295
2006,2007-04-01,0.019005502225352498
2007,2007-05-01,0.018873548614012838
2008,2007-06-01,0.018798664475523627
2009,2007-07-01,0.01863598968142028
2010,2007-08-01,0.018441911500586824
2011,2007-09-01,0.018242717349800347
2012,2007-10-01,0.018040587472378026
2013,2007-11-01,0.017828557034926983
2014,2007-12-01,0.01761127673167479
2015,2008-01-01,0.01740030092425667
2016,2008-02-01,0.01716853409254203
2017,2008-03-01,0.016880638011530502
2018,2008-04-01,0.01673236286859846
2019,2008-05-01,0.0169083583113311
2020,2008-06-01,0.0170709151392101
2021,2008-07-01,0.01710752168758078
2022,2008-08-01,0.01707291098595166
2023,2008-09-01,0.017013404781376893
2024,2008-10-01,0.01693563547159871
2025,2008-11-01,0.016826943666689475
2026,2008-12-01,0.016700087431021308
2027,2009-01-01,0.01656003512363269
2028,2009-02-01,0.013830348992102847
2029,2009-03-01,0.011659199306933796
2030,2009-04-01,0.010043242811940524
2031,2009-05-01,0.009073772802473108
2032,2009-06-01,0.008358520448693276
2033,2009-07-01,0.0077541897083029596
2034,2009-08-01,0.007275509009864938
2035,2009-09-01,0.006904636898802454
2036,2009-10-01,0.0066038155854284165
2037,2009-11-01,0.006362301751907309
2038,2009-12-01,0.006170870748974171
2039,2010-01-01,0.006017695097307086
2040,2010-02-01,0.004864712358399262
2041,2010-03-01,0.004089603315552101
2042,2010-04-01,0.003595616426370899
2043,2010-05-01,0.0033953054805235857
2044,2010-06-01,0.003355010354784669
2045,2010-07-01,0.0032849109612111405
2046,2010-08-01,0.003215307275710468
2047,2010-09-01,0.003156322414661036
2048,2010-10-01,0.00310604858432348
2049,2010-11-01,0.003068191057538944
2050,2010-12-01,0.003037853136196499
