Bigeye Mahi BlueShark Skipjack Yellowfin Albacore StripedMarlin Wahoo Swordfish BlueMarlin Lancetfish Opah
1975.95833333333 13.78 22.63 9.726 17.27 18.47 12.6 19.83 22.85 8.674 19.83 8.674 14.21
1976.04166666667 13.7 22.05 9.678 17.13 18.3 12.52 19.61 22.18 8.633 19.61 8.633 14.18
1976.125 13.64 21.67 9.644 17.03 18.19 12.47 19.47 21.82 8.604 19.47 8.604 14.16
1976.20833333333 13.6 21.6 9.62 16.98 18.13 12.44 19.4 21.79 8.583 19.4 8.583 14.11
1976.29166666667 13.58 21.75 9.612 16.96 18.11 12.42 19.38 22.07 8.576 19.38 8.576 14.06
1976.375 13.62 22.1 9.634 17.03 18.19 12.46 19.48 22.62 8.595 19.48 8.595 14.05
1976.45833333333 13.67 22.6 9.661 17.11 18.3 12.5 19.62 23.59 8.618 19.62 8.618 14.02
1976.54166666667 13.75 23.15 9.705 17.24 18.45 12.57 19.81 24.54 8.655 19.81 8.655 14.01
1976.625 13.85 23.67 9.759 17.39 18.63 12.65 20.04 25.39 8.701 20.04 8.701 14.04
1976.70833333333 13.91 24.02 9.796 17.5 18.76 12.7 20.22 25.73 8.732 20.22 8.732 14.06
1976.79166666667 13.87 24 9.769 17.44 18.7 12.66 20.16 25.23 8.709 20.16 8.709 14.03
1976.875 13.77 23.55 9.718 17.28 18.52 12.58 19.94 24.18 8.666 19.94 8.666 14.02
1976.95833333333 13.68 22.92 9.672 17.13 18.34 12.51 19.71 23.21 8.628 19.71 8.628 14.02
1977.04166666667 13.62 22.24 9.644 17.01 18.18 12.46 19.5 22.35 8.606 19.5 8.606 14.05
1977.125 13.57 21.84 9.623 16.92 18.06 12.42 19.32 21.98 8.589 19.32 8.589 14.03
1977.20833333333 13.56 21.62 9.621 16.88 18.01 12.41 19.24 21.85 8.588 19.24 8.588 14.04
1977.29166666667 13.57 21.68 9.625 16.91 18.04 12.43 19.28 21.99 8.59 19.28 8.59 14.04
1977.375 13.62 22.09 9.643 16.99 18.13 12.46 19.39 22.78 8.605 19.39 8.605 14.02
1977.45833333333 13.68 22.61 9.676 17.09 18.25 12.51 19.54 23.73 8.633 19.54 8.633 14
1977.54166666667 13.76 23.16 9.725 17.22 18.41 12.58 19.74 24.68 8.674 19.74 8.674 14
1977.625 13.87 23.7 9.785 17.4 18.62 12.68 20.01 25.64 8.725 20.01 8.725 14.04
1977.70833333333 13.94 24.03 9.819 17.5 18.75 12.73 20.19 25.97 8.754 20.19 8.754 14.07
1977.79166666667 13.88 24.01 9.785 17.43 18.68 12.68 20.12 25.46 8.724 20.12 8.724 14.02
1977.875 13.8 23.61 9.742 17.3 18.53 12.61 19.95 24.35 8.689 19.95 8.689 14.02
1977.95833333333 13.74 23.05 9.712 17.21 18.42 12.57 19.8 23.38 8.663 19.8 8.663 14.08
1978.04166666667 13.67 22.38 9.675 17.08 18.26 12.51 19.59 22.57 8.633 19.59 8.633 14.09
1978.125 13.64 21.96 9.662 17 18.15 12.48 19.44 22.12 8.622 19.44 8.622 14.1
1978.20833333333 13.62 21.75 9.653 16.97 18.11 12.47 19.37 21.96 8.615 19.37 8.615 14.1
1978.29166666667 13.61 21.89 9.645 16.95 18.09 12.45 19.34 22.33 8.609 19.34 8.609 14.04
1978.375 13.63 22.24 9.653 16.99 18.14 12.47 19.42 22.88 8.615 19.42 8.615 14
1978.45833333333 13.67 22.69 9.676 17.08 18.25 12.51 19.56 23.75 8.634 19.56 8.634 13.98
1978.54166666667 13.74 23.17 9.712 17.2 18.4 12.56 19.76 24.59 8.664 19.76 8.664 13.98
1978.625 13.8 23.65 9.745 17.31 18.54 12.61 19.95 25.36 8.691 19.95 8.691 13.97
1978.70833333333 13.84 23.97 9.769 17.39 18.64 12.65 20.09 25.66 8.711 20.09 8.711 13.97
1978.79166666667 13.83 23.98 9.763 17.37 18.63 12.64 20.09 25.21 8.705 20.09 8.705 13.98
1978.875 13.73 23.55 9.706 17.21 18.45 12.56 19.89 24.2 8.657 19.89 8.657 13.95
1978.95833333333 13.64 22.84 9.659 17.06 18.28 12.48 19.68 23.14 8.618 19.68 8.618 13.97
1979.04166666667 13.53 22.09 9.602 16.88 18.06 12.39 19.41 22.21 8.571 19.41 8.571 13.94
1979.125 13.46 21.66 9.564 16.76 17.91 12.33 19.21 21.78 8.539 19.21 8.539 13.9
1979.20833333333 13.43 21.6 9.549 16.71 17.85 12.31 19.13 21.81 8.527 19.13 8.527 13.86
1979.29166666667 13.46 21.76 9.562 16.76 17.91 12.33 19.2 22.13 8.538 19.2 8.538 13.87
1979.375 13.5 22.15 9.579 16.83 18 12.36 19.31 22.77 8.552 19.31 8.552 13.85
1979.45833333333 13.54 22.62 9.603 16.92 18.1 12.4 19.45 23.59 8.572 19.45 8.572 13.82
1979.54166666667 13.63 23.14 9.653 17.06 18.27 12.47 19.66 24.5 8.615 19.66 8.615 13.84
1979.625 13.73 23.68 9.705 17.22 18.47 12.56 19.91 25.53 8.657 19.91 8.657 13.87
1979.70833333333 13.77 24.08 9.72 17.28 18.55 12.58 20.02 26.04 8.669 20.02 8.669 13.83
1979.79166666667 13.77 24.08 9.722 17.29 18.55 12.59 20.03 25.48 8.671 20.03 8.671 13.86
1979.875 13.71 23.75 9.689 17.19 18.45 12.54 19.91 24.49 8.642 19.91 8.642 13.88
1979.95833333333 13.62 23.07 9.644 17.05 18.27 12.46 19.69 23.35 8.606 19.69 8.606 13.91
1980.04166666667 13.57 22.45 9.614 16.96 18.15 12.42 19.53 22.61 8.581 19.53 8.581 13.94
1980.125 13.49 21.99 9.573 16.82 17.99 12.35 19.31 22.14 8.548 19.31 8.548 13.9
1980.20833333333 13.48 21.88 9.57 16.79 17.94 12.34 19.24 22.19 8.546 19.24 8.546 13.88
1980.29166666667 13.54 22.05 9.607 16.89 18.06 12.4 19.37 22.44 8.576 19.37 8.576 13.94
1980.375 13.57 22.39 9.62 16.94 18.11 12.42 19.44 22.98 8.587 19.44 8.587 13.91
1980.45833333333 13.62 22.83 9.646 17.03 18.22 12.47 19.58 23.84 8.608 19.58 8.608 13.9
1980.54166666667 13.72 23.31 9.696 17.17 18.39 12.54 19.78 24.73 8.651 19.78 8.651 13.93
1980.625 13.78 23.77 9.733 17.29 18.54 12.6 19.98 25.47 8.681 19.98 8.681 13.93
1980.70833333333 13.85 24.04 9.772 17.4 18.66 12.66 20.14 25.67 8.715 20.14 8.715 13.97
1980.79166666667 13.81 24 9.749 17.34 18.6 12.63 20.08 25.07 8.694 20.08 8.694 13.95
1980.875 13.76 23.63 9.723 17.25 18.49 12.58 19.94 24.16 8.672 19.94 8.672 13.99
1980.95833333333 13.71 23.04 9.696 17.17 18.39 12.54 19.8 23.25 8.65 19.8 8.65 14.05
1981.04166666667 13.64 22.37 9.658 17.04 18.23 12.48 19.58 22.47 8.618 19.58 8.618 14.05
1981.125 13.62 21.86 9.651 16.99 18.15 12.47 19.47 22.03 8.613 19.47 8.613 14.09
1981.20833333333 13.63 21.67 9.658 16.99 18.15 12.48 19.44 21.89 8.619 19.44 8.619 14.12
1981.29166666667 13.62 21.83 9.645 16.97 18.12 12.46 19.41 22.23 8.608 19.41 8.608 14.07
1981.375 13.64 22.19 9.657 17.02 18.18 12.48 19.49 22.87 8.618 19.49 8.618 14.03
1981.45833333333 13.68 22.68 9.678 17.09 18.26 12.52 19.59 23.9 8.635 19.59 8.635 13.98
1981.54166666667 13.75 23.14 9.716 17.21 18.41 12.58 19.78 24.7 8.667 19.78 8.667 13.99
1981.625 13.82 23.59 9.751 17.32 18.55 12.63 19.97 25.39 8.696 19.97 8.696 14
1981.70833333333 13.83 23.91 9.752 17.35 18.59 12.64 20.04 25.76 8.696 20.04 8.696 13.95
